Molecule,Formula,Ei,Alpha,axx,ayy,azz,AlphaB,pi_bond,Dipole,Expt,DYS_A,DYS_B
Butane,C4H10,10.6,8.1,9.3,7.7,7.2,8.1,0,0.0,35,31,31
Pentane,C5H12,10.4,10.0,11.7,9.4,8.7,10.0,0,0.0,60,55,55
Hexane,C6H14,10.2,11.8,14.3,11.0,10.2,11.9,0,0.0,80,77,77
Heptane,C7H16,9.9,13.7,16.9,12.7,11.7,13.8,0,0.0,105,100,100
Octane,C8H18,10.0,15.5,19.6,14.3,13.2,15.7,0,0.0,115,123,123
Nonane,C9H20,10.0,17.4,21.3,14.9,14.0,16.8,0,0.0,145,146,146
Dodecane,C12H26,9.9,22.9,,,,,0,0.0,220,215,215
Hexadecane,C16H34,9.9,30.3,,,,,0,0.0,310,306,306
Ethylene,C2H4,10.5,4.2,5.4,3.8,3.3,4.2,1,0.0,20,-17,12
Cyclopropane,C3H6,9.9,5.7,5.8,5.8,5.0,5.5,0,0.0,10,1,1
Cyclohexane,C6H12,9.9,11.8,11.3,11.3,9.8,10.8,0,0.0,80,77,77
Benzene,C6H6,9.3,10.4,12.3,12.3,6.7,10.4,3,0.0,150,149,149
Naphthalene,C10H8,8.2,16.6,25.7,18.7,9.8,18.1,5,0.0,300,285,285
2-3-butanedione,C4H6O2,9.3,8.2,9.8,9.1,6.1,8.3,2,0.0,77,32,92
IsoPentane,C5H12,10.3,10.0,10.9,9.9,8.9,9.9,0,0.0,60,55,55
TetraDecane,C14H30,9.9,26.6,,,,,0,0.0,260,260,260
Propane,C3H8,11.1,6.3,6.8,6.1,5.7,6.2,0,0.0,10,9,9
Tetrachloroethylene,C2Cl4,9.3,12.3,15.1,13.9,7.8,12.3,1,0.0,57,83,113
1-2-trans-Dichloroethylene,C2H2Cl2,9.6,8.2,12.5,6.7,5.6,8.3,1,0.0,15,32,62
Carbondisulfide,CS2,10.1,8.7,13.9,5.2,5.2,8.1,2,0.0,75,38,98
Bromoform,CHBr3,10.5,11.3,13.2,13.2,8.6,11.7,0,0.9,130,89,89
Cyclopentanone,C5H8O,9.3,9.0,10.3,9.6,7.6,9.2,1,3.3,230,108,137
Ethyl Acetate(conformer1),C4H8O2,10.0,8.7,10.8,8.9,7.1,8.9,1,2.1,160,80,110
1-Butanol,C4H10O,10.0,8.5,10.4,8.3,7.7,8.8,0,1.6,102,68,68
Chloroform,CHCl3,11.4,8.2,9.4,9.3,6.5,8.4,0,1.1,50,54,54
Butanal,C4H8O,9.8,8.0,9.6,8.4,6.7,8.2,1,2.8,142,85,115
2-MethylPropionitrile,C4H7N,11.3,8.0,9.7,7.8,6.8,8.1,2,4.2,274,113,173
Dimethylcarbonate,C3H6O3,10.3,7.4,7.7,7.7,6.7,7.4,1,0.5,102,32,62
Ethyl Formate,C3H6O2,10.6,6.9,8.7,6.9,5.5,7.0,1,2.2,103,60,90
Methyl Acetate,C3H6O2,10.2,6.8,8.4,7.1,5.5,7.0,1,2.0,122,55,84
2-Propanol,C3H8O,10.2,6.8,7.4,7.0,6.4,6.9,0,1.6,87,47,47
1-Propanol,C3H8O,10.2,6.7,7.9,6.6,6.2,6.9,0,1.7,70,47,47
Acetone,C3H6O,9.7,6.2,7.1,7.0,5.1,6.4,1,3.2,173,71,101
Propanal,C3H6O,10.0,6.2,7.0,6.9,5.1,6.4,1,2.8,118,63,93
Propionitrile,C3H5N,11.8,6.2,8.1,5.6,5.2,6.3,2,4.2,245,91,150
1-Fluoropropane,C3H7F,11.3,6.1,6.9,6.0,5.6,6.2,0,2.1,35,48,48
1-2-Ethanediol,C2H6O2,10.2,5.6,6.6,5.6,5.0,5.7,0,2.5,70,50,50
Bromomethane,CH3Br,10.5,5.3,6.8,4.6,4.6,5.4,0,2.0,40,36,36
Methyl Formate,C2H4O2,10.8,5.0,7.2,4.8,3.9,5.3,1,2.0,65,32,62
Ethanol,C2H6O,10.4,5.0,5.6,5.0,4.6,5.1,0,1.7,43,26,26
Acetaldehyde,C2H4O,10.2,4.5,5.6,4.7,3.6,4.6,1,3.0,88,46,76
Acetonitrile,C2H3N,12.2,4.4,6.1,3.6,3.6,4.4,2,4.1,180,66,126
Chloromethane,CH3Cl,11.2,4.3,5.4,3.8,3.8,4.3,0,2.1,25,26,26
Methanol,CH4O,10.8,3.1,3.5,3.1,3.0,3.2,0,1.7,20,3,3
Dimethoxymethane,C3H8O2,9.7,7.4,,,,,0,0.2,78,26,26
2-Butanone,C4H8O,9.5,8.0,,,,,1,3.0,194,89,119
Propyl Formate,C4H8O2,10.5,8.7,,,,,1,2.4,126,86,116
1-Fluorobutane,C4H9F,10.2,7.9,,,,,0,2.2,70,72,72
1-Fluorohexane,C6H13F,9.8,11.6,,,,,0,2.2,80,118,118
1-Fluorononane,C9H19F,9.6,17.2,,,,,0,2.2,145,187,187
1-Chlorohexane,C6H13Cl,10.3,13.7,,,,,0,2.5,175,150,150
Dichloromethane,CH2Cl2,11.3,6.4,8.3,5.7,5.1,6.4,0,2.0,32,50,50
cis-1-2-Dichloroethylene,C2H2Cl2,9.7,8.0,10.6,7.9,5.6,8.0,1,2.3,66,75,105
Trichloroethylene,C2HCl3,9.5,10.2,13.6,10.3,6.7,10.2,1,1.1,50,79,109
1-Chloropropane,C3H7Cl,10.8,8.2,10.3,7.4,6.9,8.2,0,2.5,98,82,82
2-Chloropropane,C3H7Cl,10.8,8.2,9.5,8.1,7.1,8.2,0,2.6,113,84,84
