Molecule,Formula,Expt,Dipole,Alpha,pi_bond,Ei,axx,ayy,azz,AlphaB,Molecule Type
"1,1-dicloroetileno/Vinilideno",C2H2Cl2,30.0,1.3,8.1,1.0,9.8,9.549,9.153,5.576,8.092666666666666,0.0
"1,2-cis-dicloroetileno ",C2H2Cl2,66.0,1.9,8.0,1.0,9.7,10.6,7.9,5.6,8.033333333333333,0.0
"1,2-Ethanediol ",C2H6O2,70.0,1.69,3.08,0.0,10.2,6.6,5.6,5.0,5.733333333333333,0.0
"1,3-Ciclohexadieno ",C6H8,132.0,0.44,10.6,2.0,8.3,,,,,0.0
"1,3-Dichloropropane",C3H6Cl2,85.0,2.08,10.08,0.0,10.89,,,,,0.0
1-Butanol ,C4H10O,102.0,1.66,8.77,0.0,10.0,10.4,8.3,7.7,8.8,0.0
1-cl.hexano ,C6H13Cl,175.0,2.0,13.6,0.0,10.3,,,,,0.0
1-fl-butano ,C4H9F,70.0,2.2,7.8,0.0,10.2,,,,,0.0
1-fl-hexano ,C6H13F,80.0,2.2,11.5,0.0,9.8,,,,,0.0
1-fl-nonano ,C9H19F,145.0,2.2,17.0,0.0,9.6,,,,,0.0
1-fl-propano ,C3H7F,35.0,2.0,6.0,0.0,11.3,6.9,6.0,5.6,6.166666666666667,0.0
1-Propanol ,C3H8O,65.0,1.57,6.7,0.0,10.18,7.9,6.6,6.2,6.8999999999999995,0.0
"2,2-Dicloropropano",C3H6Cl2,131.0,2.65,10.37,0.0,,11.201,10.069,9.259,10.176333333333334,0.0
"2,2-difl.propano ",C3H6F2,25.0,2.4,5.9,0.0,11.4,,,,,0.0
2-Butanona ,C4H8O,205.0,2.78,8.21,1.0,9.52,9.347,8.354,6.558,8.086333333333334,0.0
2-Metilpropionitrila ,C4H7N,274.0,4.3,8.1,2.0,11.3,9.7,7.8,6.8,8.1,0.0
2-Propanol ,C3H8O,85.0,1.58,6.7,0.0,10.17,7.4,7.0,6.4,6.933333333333334,0.0
Acetaldeído ,C2H4O,88.0,2.8,4.6,1.0,10.2,5.6,4.7,3.6,4.633333333333334,0.0
Acetona ,C3H6O,170.0,2.88,6.41,1.0,9.7,7.1,7.0,5.1,6.3999999999999995,0.0
Acetonitrila ,C2H3N,180.0,3.9,4.4,2.0,12.2,6.1,3.6,3.6,4.433333333333333,0.0
Acetophenone ,C8H8O,288.0,3.02,14.4,4.0,9.28,18.481,14.759,3.328,12.189333333333336,0.0
Aniline ,C6H5NH2,233.0,1.53,12.1,3.0,7.72,15.907,13.195,7.601,12.234333333333334,0.0
Benzaldehyde ,C7H6O,220.0,3.14,12.8,4.0,9.5,17.698,13.931,7.466,13.031666666666666,0.0
Benzonitrile ,C7H5N,298.0,4.52,12.5,5.0,9.73,18.602,13.011,7.526,13.046333333333331,0.0
Bromofórmio,CHBr3,130.0,0.9,11.3,0.0,10.5,13.2,13.2,8.6,11.666666666666666,0.0
Butanal ,C4H8O,150.0,2.72,8.28,1.0,9.84,9.6,8.4,6.7,8.233333333333333,0.0
Ciclohexano ,C6H12,82.0,0.33,11.0,1.0,9.9,11.3,11.3,9.8,10.800000000000002,0.0
Ciclohexeno ,C6H10,105.0,0.33,10.7,1.0,9.0,12.187,10.737,8.658,10.527333333333333,0.0
Ciclopentanona ,C5H8O,230.0,3.3,9.0,1.0,9.3,10.3,9.6,7.6,9.166666666666666,0.0
Ciclopenteno ,C5H8,70.0,0.2,8.9,1.0,9.0,10.346,9.116,7.182,8.881333333333332,0.0
Clorofórmio ,CH3Cl3,37.0,1.0,8.4,0.0,11.4,9.4,9.3,6.5,8.4,0.0
Cycloheptatriene ,C7H8,190.0,0.25,12.6,3.0,8.29,,,,,0.0
Decano,C10H22,193.0,,19.2,0.0,9.7,25.0,17.492,16.144,19.545333333333335,0.0
Diclorometano ,CH2Cl2,32.0,1.6,6.5,0.0,11.3,8.3,5.7,5.1,6.366666666666667,0.0
Dimetilcarbonato ,C3H6O3,102.0,0.3,7.7,1.0,10.3,7.7,7.7,6.7,7.366666666666667,0.0
Dimetoximethano ,C3H8O2,78.0,0.7,7.7,0.0,9.7,8.616,7.299,6.726,7.547,0.0
Etanol ,C2H6O,43.0,1.44,5.11,5.0,4.6,5.1,0.0,1.7,2.2666666666666666,0.0
Etilacetato ,C4H8O2,190.0,2.13,8.8,1.0,10.01,10.768,8.856,7.074,8.899333333333333,0.0
EtilAcetato2o. ,,195.0,2.1,8.6,,,,,,,0.0
Etilformato ,C3H6O2,95.0,1.93,7.02,1.0,10.61,8.7,6.9,5.5,7.033333333333334,0.0
Furan ,C4H4O,52.0,0.66,7.23,2.0,8.88,8.747,7.998,5.194,7.313,0.0
Isobutane ,C4H10,41.0,0.132,8.14,0.0,10.57,8.414,8.414,7.376,8.068,0.0
Isopropylcloride,C3H7Cl,113.0,2.17,8.36,0.0,10.79,9.5,8.1,7.1,8.233333333333334,0.0
Metanol ,CH4O,20.0,1.69,3.08,0.0,10.8,3.5,3.1,3.0,3.1999999999999997,0.0
Metilacetato ,C3H6O2,120.0,2.0,6.96,1.0,10.25,8.4,7.1,5.5,7.0,0.0
MetilBromo ,CH3Br,40.0,1.8,5.6,0.0,10.5,6.787,4.642,4.641,5.3566666666666665,0.0
Methyl Chloride,CH3Cl,25.0,1.9,5.4,0.0,11.2,5.432,3.803,3.803,4.346,0.0
Metyl Formate,C2H4O2,65.0,1.8,5.1,1.0,10.8,7.2,4.8,3.9,5.3,0.0
n-Propylchloride/1-chloropropane,C3H7Cl,97.0,2.05,8.24,0.0,10.81,10.3,7.4,6.9,8.200000000000001,0.0
Phenylacetylene ,C8H6,230.0,0.66,13.8,5.0,8.82,21.795,13.722,8.256,14.591000000000001,0.0
Propanal ,C3H6O,115.0,2.8,6.2,1.0,10.0,7.0,6.9,5.1,6.333333333333333,0.0
Propilformato ,C4H8O2,130.0,2.4,8.85,1.0,10.52,,,,,0.0
