Feature Importance,Models,Propriedade Molecular
0,0.03525146269175348,Regressão Polinomial,Ei
1,0.04347592158997231,Regressão Polinomial,axx
2,0.07557181013878446,Regressão Polinomial,ayy
3,0.32406744339053534,Regressão Polinomial,azz
4,0.5216333621889543,Regressão Polinomial,Pi Bond
5,0.034309686114134985,SVR,Ei
6,0.06923890260324916,SVR,axx
7,0.2122756142413762,SVR,ayy
8,0.2568214932769391,SVR,azz
9,0.42735430376430056,SVR,Pi Bond
10,0.08687640587767423,XGBoost,Ei
11,0.2463498327859838,XGBoost,axx
12,0.12196867828824443,XGBoost,ayy
13,0.2380473203030116,XGBoost,azz
14,0.30675776274508604,XGBoost,Pi Bond
15,0.029524501499110588,RNA,Ei
16,0.1679471726334996,RNA,axx
17,0.13229131002332248,RNA,ayy
18,0.16527259264439367,RNA,azz
19,0.5049644231996736,RNA,Pi Bond
20,0.028595287045814696,Modelo Ensemble,Ei
21,0.104275679220121,Modelo Ensemble,axx
22,0.139777587319679,Modelo Ensemble,ayy
23,0.26705597895655103,Modelo Ensemble,azz
24,0.4602954674578341,Modelo Ensemble,Pi Bond
