Feature Importance,Models,Propriedade Molecular
0,0.07558452543984413,Regressão Polinomial,Ei
1,0.4736054232381422,Regressão Polinomial,Alpha
2,0.4508100513220138,Regressão Polinomial,Pi Bond
3,0.04054793021869091,SVR,Ei
4,0.34812798753372737,SVR,Alpha
5,0.6113240822475817,SVR,Pi Bond
6,0.15640686288021052,XGBoost,Ei
7,0.49665696783040536,XGBoost,Alpha
8,0.34693616928938414,XGBoost,Pi Bond
9,0.024912795796928042,RNA,Ei
10,0.4599936213738221,RNA,Alpha
11,0.5150935828292499,RNA,Pi Bond
12,0.06453052832966834,Modelo Ensemble,Ei
13,0.4571021926828854,Modelo Ensemble,Alpha
14,0.47836727898744624,Modelo Ensemble,Pi Bond
