Feature Importance,Models,Propriedade Molecular
0,0.13359160584118926,Regressão Polinomial,Ei
1,0.33905059106912766,Regressão Polinomial,axx
2,0.3948530719287704,Regressão Polinomial,ayy
3,0.13250473116091263,Regressão Polinomial,azz
4,0.27613654275454,SVR,Ei
5,0.36551563764605877,SVR,axx
6,0.2618774196564686,SVR,ayy
7,0.09647039994293251,SVR,azz
8,0.2147538108569313,XGBoost,Ei
9,0.2625627310213472,XGBoost,axx
10,0.23783491513175262,XGBoost,ayy
11,0.28484854298996887,XGBoost,azz
12,0.20701453920601004,RNA,Ei
13,0.2508237360199051,RNA,axx
14,0.3334692676335331,RNA,ayy
15,0.20869245714055185,RNA,azz
16,0.12479899779990591,Modelo Ensemble,Ei
17,0.32898105150151813,Modelo Ensemble,axx
18,0.36154799942739635,Modelo Ensemble,ayy
19,0.1846719512711796,Modelo Ensemble,azz
