Feature Importance,Models,Propriedade Molecular
0,0.153827467931089,Regressão Polinomial,axx
1,0.13464606904835705,Regressão Polinomial,ayy
2,0.21121546109774042,Regressão Polinomial,azz
3,0.5003110019228135,Regressão Polinomial,Pi Bond
4,0.128280013296267,SVR,axx
5,0.14161105093225704,SVR,ayy
6,0.2478402455651478,SVR,azz
7,0.48226869020632807,SVR,Pi Bond
8,0.29776492406557736,XGBoost,axx
9,0.3923439790711286,XGBoost,ayy
10,0.2728357999909498,XGBoost,azz
11,0.03705529687234424,XGBoost,Pi Bond
12,,RNA,axx
13,,RNA,ayy
14,,RNA,azz
15,,RNA,Pi Bond
16,0.14285462694782725,Modelo Ensemble,axx
17,0.14155220894599965,Modelo Ensemble,ayy
18,0.2307742672767563,Modelo Ensemble,azz
19,0.4848188968294168,Modelo Ensemble,Pi Bond
