Feature Importance,Models,Propriedade Molecular
0,0.0305315885282233,Regressão Polinomial,Ei
1,0.26138073345370183,Regressão Polinomial,Alpha
2,0.40099178730466445,Regressão Polinomial,Dipole
3,0.30709589071341037,Regressão Polinomial,Pi Bond
4,0.1216990485490132,SVR,Ei
5,0.2535775071997582,SVR,Alpha
6,0.38683083370549554,SVR,Dipole
7,0.2378926105457331,SVR,Pi Bond
8,0.12569747745960283,XGBoost,Ei
9,0.3027171348539172,XGBoost,Alpha
10,0.4963092982485193,XGBoost,Dipole
11,0.07527608943796069,XGBoost,Pi Bond
12,0.07152299853287468,RNA,Ei
13,0.2905296589421111,RNA,Alpha
14,0.5226306096373675,RNA,Dipole
15,0.11531673288764674,RNA,Pi Bond
16,0.06402434256105191,Modelo Ensemble,Ei
17,0.2622130303826952,Modelo Ensemble,Alpha
18,0.4979486612521652,Modelo Ensemble,Dipole
19,0.17581396580408756,Modelo Ensemble,Pi Bond
