Feature Importance,Models,Propriedade Molecular
0,0.04453153532645223,Regressão Polinomial,Ei
1,0.16111211049245183,Regressão Polinomial,axx
2,0.0709621190451247,Regressão Polinomial,ayy
3,0.28221126180144696,Regressão Polinomial,azz
4,0.208729064070156,Regressão Polinomial,Dipole
5,0.23245390926436835,Regressão Polinomial,Pi Bond
6,0.05206884621221369,SVR,Ei
7,0.08806631108691897,SVR,axx
8,0.088378207216671,SVR,ayy
9,0.27134817852844134,SVR,azz
10,0.19434758449925016,SVR,Dipole
11,0.3057908724565049,SVR,Pi Bond
12,0.17141672330970534,XGBoost,Ei
13,0.049677696732618834,XGBoost,axx
14,0.16256885459386378,XGBoost,ayy
15,0.037396949679543094,XGBoost,azz
16,0.516758313057429,XGBoost,Dipole
17,0.06218146262684003,XGBoost,Pi Bond
18,0.050316172540343033,RNA,Ei
19,0.11352354280489384,RNA,axx
20,0.18235425303108058,RNA,ayy
21,0.1655341954058185,RNA,azz
22,0.2953425641790214,RNA,Dipole
23,0.1929292720388426,RNA,Pi Bond
24,0.055752994492376126,Modelo Ensemble,Ei
25,0.0993610480500281,Modelo Ensemble,axx
26,0.12475458719516185,Modelo Ensemble,ayy
27,0.21473407537410436,Modelo Ensemble,azz
28,0.284468136556904,Modelo Ensemble,Dipole
29,0.2209291583314255,Modelo Ensemble,Pi Bond
