Feature Importance,Models,Propriedade Molecular
0,0.07354268195453768,Regressão Polinomial,Ei
1,0.25828746650228374,Regressão Polinomial,Alpha
2,0.4972171961857449,Regressão Polinomial,Dipole
3,0.17095265535743356,Regressão Polinomial,Pi Bond
4,0.16215534152507877,SVR,Ei
5,0.2643543883841511,SVR,Alpha
6,0.4265833574298828,SVR,Dipole
7,0.14690691266088726,SVR,Pi Bond
8,0.1991543266075275,XGBoost,Ei
9,0.20911426115862597,XGBoost,Alpha
10,0.5223226695317315,XGBoost,Dipole
11,0.06940874270211511,XGBoost,Pi Bond
12,0.10869292898444391,RNA,Ei
13,0.25099915015920854,RNA,Alpha
14,0.43616801565931673,RNA,Dipole
15,0.20413990519703082,RNA,Pi Bond
16,0.11771164207009481,Modelo Ensemble,Ei
17,0.25822002051240744,Modelo Ensemble,Alpha
18,0.48602398104892136,Modelo Ensemble,Dipole
19,0.13804435636857637,Modelo Ensemble,Pi Bond
