Feature Importance,Models,Propriedade Molecular
0,0.06439629062264773,Regressão Polinomial,axx
1,0.33097384573919586,Regressão Polinomial,ayy
2,0.1121522022221852,Regressão Polinomial,azz
3,0.4924776614159714,Regressão Polinomial,Dipole
4,0.11248882541708022,SVR,axx
5,0.11151905743827209,SVR,ayy
6,0.2967603686118675,SVR,azz
7,0.4792317485327802,SVR,Dipole
8,0.08449041609015566,XGBoost,axx
9,0.24888794345012424,XGBoost,ayy
10,0.09082141415556708,XGBoost,azz
11,0.5758002263041531,XGBoost,Dipole
12,0.09859327505564217,RNA,axx
13,0.22508838267423098,RNA,ayy
14,0.17151388481282248,RNA,azz
15,0.5048044574573045,RNA,Dipole
16,0.07483074218968344,Modelo Ensemble,axx
17,0.23557750822336565,Modelo Ensemble,ayy
18,0.16269481623729212,Modelo Ensemble,azz
19,0.5268969333496588,Modelo Ensemble,Dipole
