Feature Importance,Models,Propriedade Molecular
0,0.1833871311642946,Regressão Polinomial,axx
1,0.05027691596406266,Regressão Polinomial,ayy
2,0.3288707403276,Regressão Polinomial,azz
3,0.18695255654472706,Regressão Polinomial,Dipole
4,0.25051265599931566,Regressão Polinomial,Pi Bond
5,0.1342707982569687,SVR,axx
6,0.05135901144195443,SVR,ayy
7,0.31250896244514426,SVR,azz
8,0.23549325998221715,SVR,Dipole
9,0.26636796787371547,SVR,Pi Bond
10,0.08526221821843416,XGBoost,axx
11,0.23043821907374795,XGBoost,ayy
12,0.0933229877362806,XGBoost,azz
13,0.5370501721703238,XGBoost,Dipole
14,0.05392640280121357,XGBoost,Pi Bond
15,0.1650561694522441,RNA,axx
16,0.029883755196383897,RNA,ayy
17,0.3221730707344607,RNA,azz
18,0.24199859961590195,RNA,Dipole
19,0.24088840500100928,RNA,Pi Bond
20,0.14220102288614275,Modelo Ensemble,axx
21,0.06571819951497422,Modelo Ensemble,ayy
22,0.29320734401324605,Modelo Ensemble,azz
23,0.2688710313412866,Modelo Ensemble,Dipole
24,0.23000240224435034,Modelo Ensemble,Pi Bond
