Feature Importance,Models,Propriedade Molecular
0,0.3649336872775632,Regressão Polinomial,Alpha
1,0.23195568338741657,Regressão Polinomial,Dipole
2,0.40311062933502023,Regressão Polinomial,Pi Bond
3,0.28994026118346294,SVR,Alpha
4,0.24954606742325405,SVR,Dipole
5,0.460513671393283,SVR,Pi Bond
6,0.3499029700848011,XGBoost,Alpha
7,0.5664670394769454,XGBoost,Dipole
8,0.08362999043825348,XGBoost,Pi Bond
9,0.3091684909080906,RNA,Alpha
10,0.4733369587058484,RNA,Dipole
11,0.21749455038606105,RNA,Pi Bond
12,0.3276650306527147,Modelo Ensemble,Alpha
13,0.38537912389349777,Modelo Ensemble,Dipole
14,0.28695584545378766,Modelo Ensemble,Pi Bond
