Feature Importance,Models,Propriedade Molecular
0,0.13102677795242174,Regressão Polinomial,Ei
1,0.2749666720410827,Regressão Polinomial,Alpha
2,0.5940065500064956,Regressão Polinomial,Dipole
3,0.14517909177662702,SVR,Ei
4,0.30506465242294656,SVR,Alpha
5,0.5497562558004264,SVR,Dipole
6,0.17332331766316866,XGBoost,Ei
7,0.23353798584465366,XGBoost,Alpha
8,0.5931386964921778,XGBoost,Dipole
9,0.10845924280470758,RNA,Ei
10,0.308262278872862,RNA,Alpha
11,0.5832784783224304,RNA,Dipole
12,0.12212851844654976,Modelo Ensemble,Ei
13,0.2869413637290129,Modelo Ensemble,Alpha
14,0.5909301178244374,Modelo Ensemble,Dipole
