Feature Importance,Models,Propriedade Molecular
0,0.11416477124610007,Regressão Polinomial,Ei
1,0.12676980119777226,Regressão Polinomial,axx
2,0.2816729892761263,Regressão Polinomial,ayy
3,0.10093152327990508,Regressão Polinomial,azz
4,0.3764609150000964,Regressão Polinomial,Dipole
5,0.06056634969436295,SVR,Ei
6,0.038717343282362246,SVR,axx
7,0.13718396133530467,SVR,ayy
8,0.19874562470379298,SVR,azz
9,0.5647867209841771,SVR,Dipole
10,0.1892622942575433,XGBoost,Ei
11,0.052745055444667205,XGBoost,axx
12,0.17443885195827788,XGBoost,ayy
13,0.029397056838163873,XGBoost,azz
14,0.5541567415013477,XGBoost,Dipole
15,0.06358137339705562,RNA,Ei
16,0.054524348656589276,RNA,axx
17,0.2248321154626279,RNA,ayy
18,0.12097112335136946,RNA,azz
19,0.5360910391323578,RNA,Dipole
20,0.09482088099713834,Modelo Ensemble,Ei
21,0.06055325105185874,Modelo Ensemble,axx
22,0.23754367526587938,Modelo Ensemble,ayy
23,0.07662996794901528,Modelo Ensemble,azz
24,0.5304522247361082,Modelo Ensemble,Dipole
