Feature Importance,Models,Propriedade Molecular
0,0.36291653128920454,Regressão Polinomial,Ei
1,0.18427418840944826,Regressão Polinomial,Alpha
2,0.45280928030134726,Regressão Polinomial,Dipole
3,0.2531617883200542,SVR,Ei
4,0.17937962469281113,SVR,Alpha
5,0.5674585869871346,SVR,Dipole
6,0.21466745041003904,XGBoost,Ei
7,0.21698130038973348,XGBoost,Alpha
8,0.5683512492002275,XGBoost,Dipole
9,0.17459363986497606,RNA,Ei
10,0.25451499509484843,RNA,Alpha
11,0.5708913650401756,RNA,Dipole
12,0.2852272526138824,Modelo Ensemble,Ei
13,0.18278869133498982,Modelo Ensemble,Alpha
14,0.5319840560511279,Modelo Ensemble,Dipole
