Feature Importance,Models,Propriedade Molecular
0,0.07963780981300779,Regressão Polinomial,Ei
1,0.35225900244913605,Regressão Polinomial,Alpha
2,0.33293932747237415,Regressão Polinomial,Dipole
3,0.235163860265482,Regressão Polinomial,Pi Bond
4,0.056735055603748384,SVR,Ei
5,0.36792143619757683,SVR,Alpha
6,0.36981087693304215,SVR,Dipole
7,0.20553263126563262,SVR,Pi Bond
8,0.09721969383168291,XGBoost,Ei
9,0.39880237707599653,XGBoost,Alpha
10,0.3338685470240462,XGBoost,Dipole
11,0.17010938206827436,XGBoost,Pi Bond
12,0.035523094185810324,RNA,Ei
13,0.40368958653873144,RNA,Alpha
14,0.3273176495178305,RNA,Dipole
15,0.23346966975762773,RNA,Pi Bond
16,0.05087104830282247,Modelo Ensemble,Ei
17,0.3937169859082221,Modelo Ensemble,Alpha
18,0.34833414305186366,Modelo Ensemble,Dipole
19,0.20707782273709188,Modelo Ensemble,Pi Bond
