Feature Importance,Models,Propriedade Molecular
0,0.008105887187162434,Regressão Polinomial,Ei
1,0.190260166692253,Regressão Polinomial,axx
2,0.03591137021776517,Regressão Polinomial,ayy
3,0.3362188112560634,Regressão Polinomial,azz
4,0.22964766574948267,Regressão Polinomial,Dipole
5,0.1998560988972733,Regressão Polinomial,Pi Bond
6,0.0330800889818735,SVR,Ei
7,0.05027868631835177,SVR,axx
8,0.11730522671582388,SVR,ayy
9,0.22355585743691012,SVR,azz
10,0.32873157955122717,SVR,Dipole
11,0.24704856099581354,SVR,Pi Bond
12,0.12738438484561293,XGBoost,Ei
13,0.08219280808748797,XGBoost,axx
14,0.1647665464928368,XGBoost,ayy
15,0.09319322218924962,XGBoost,azz
16,0.32536350434940275,XGBoost,Dipole
17,0.20709953403540998,XGBoost,Pi Bond
18,0.0403537659395808,RNA,Ei
19,0.09268996210124972,RNA,axx
20,0.0427270949184077,RNA,ayy
21,0.283548582128797,RNA,azz
22,0.25550193928522913,RNA,Dipole
23,0.28517865562673567,RNA,Pi Bond
24,0.02969009001014413,Modelo Ensemble,Ei
25,0.10030581086220308,Modelo Ensemble,axx
26,0.0671917886566369,Modelo Ensemble,ayy
27,0.27658291619288206,Modelo Ensemble,azz
28,0.2810274997684463,Modelo Ensemble,Dipole
29,0.2452018945096874,Modelo Ensemble,Pi Bond
