Feature Importance,Models,Propriedade Molecular
0,0.06788063002759746,Regressão Polinomial,Ei
1,0.23562640340492866,Regressão Polinomial,Alpha
2,0.4309535463342218,Regressão Polinomial,Dipole
3,0.2655394202332521,Regressão Polinomial,Pi Bond
4,0.06717517083125289,SVR,Ei
5,0.3135440344281701,SVR,Alpha
6,0.3874905362861479,SVR,Dipole
7,0.23179025845442905,SVR,Pi Bond
8,0.10960528129318095,XGBoost,Ei
9,0.3066352655930929,XGBoost,Alpha
10,0.32903188968442043,XGBoost,Dipole
11,0.2547275634293057,XGBoost,Pi Bond
12,0.06447305231628962,RNA,Ei
13,0.3187724956762464,RNA,Alpha
14,0.3704777275807246,RNA,Dipole
15,0.24627672442673937,RNA,Pi Bond
16,0.05525833432258841,Modelo Ensemble,Ei
17,0.3008267413162802,Modelo Ensemble,Alpha
18,0.39881802714103093,Modelo Ensemble,Dipole
19,0.24509689722010047,Modelo Ensemble,Pi Bond
