Feature Importance,Models,Propriedade Molecular
0,0.4360985764982699,Regressão Polinomial,axx
1,0.044298479872362524,Regressão Polinomial,ayy
2,0.034575478565827655,Regressão Polinomial,azz
3,0.48502746506353994,Regressão Polinomial,Dipole
4,0.14942252023458766,SVR,axx
5,0.3364222582226853,SVR,ayy
6,0.1241391469462436,SVR,azz
7,0.3900160745964834,SVR,Dipole
8,0.14623128556052312,XGBoost,axx
9,0.30474237952675726,XGBoost,ayy
10,0.04485772285799486,XGBoost,azz
11,0.5041686120547247,XGBoost,Dipole
12,0.14031420439170628,RNA,axx
13,0.3213181752831027,RNA,ayy
14,0.02234042272744069,RNA,azz
15,0.5160271975977503,RNA,Dipole
16,0.38695741639124703,Modelo Ensemble,axx
17,0.14813208349761117,Modelo Ensemble,ayy
18,0.042775895462371004,Modelo Ensemble,azz
19,0.4221346046487709,Modelo Ensemble,Dipole
