Feature Importance,Models,Propriedade Molecular
0,0.4165528446998797,Regressão Polinomial,Alpha
1,0.31995502730737185,Regressão Polinomial,Dipole
2,0.2634921279927484,Regressão Polinomial,Pi Bond
3,0.4152861713240156,SVR,Alpha
4,0.3803919208680683,SVR,Dipole
5,0.2043219078079162,SVR,Pi Bond
6,0.4505300620621431,XGBoost,Alpha
7,0.3873692162561222,XGBoost,Dipole
8,0.16210072168173473,XGBoost,Pi Bond
9,0.40397642666379785,RNA,Alpha
10,0.3565256169493318,RNA,Dipole
11,0.23949795638687027,RNA,Pi Bond
12,0.4258362865564044,Modelo Ensemble,Alpha
13,0.3558079820980748,Modelo Ensemble,Dipole
14,0.2183557313455209,Modelo Ensemble,Pi Bond
