Feature Importance,Models,Propriedade Molecular
0,0.3024684045455631,Regressão Polinomial,Alpha
1,0.4520143755547944,Regressão Polinomial,Dipole
2,0.24551721989964256,Regressão Polinomial,Pi Bond
3,0.32778167154124366,SVR,Alpha
4,0.43912097480474455,SVR,Dipole
5,0.2330973536540118,SVR,Pi Bond
6,0.3719217501249729,XGBoost,Alpha
7,0.45836796418982273,XGBoost,Dipole
8,0.16971028568520438,XGBoost,Pi Bond
9,0.33444654737082913,RNA,Alpha
10,0.4522895297312377,RNA,Dipole
11,0.21326392289793306,RNA,Pi Bond
12,0.3278667986161137,Modelo Ensemble,Alpha
13,0.45290926261098274,Modelo Ensemble,Dipole
14,0.21922393877290355,Modelo Ensemble,Pi Bond
