Feature Importance,Models,Propriedade Molecular
0,0.14269409349328993,Regressão Polinomial,Ei
1,0.4619480291942355,Regressão Polinomial,Alpha
2,0.39535787731247446,Regressão Polinomial,Dipole
3,0.1491983512993132,SVR,Ei
4,0.4219225211090532,SVR,Alpha
5,0.4288791275916336,SVR,Dipole
6,0.09065579216685328,XGBoost,Ei
7,0.45697073787253156,XGBoost,Alpha
8,0.4523734699606152,XGBoost,Dipole
9,0.17442379373668912,RNA,Ei
10,0.39332559190441074,RNA,Alpha
11,0.4322506143589001,RNA,Dipole
12,0.10844666939066488,Modelo Ensemble,Ei
13,0.4706159745899855,Modelo Ensemble,Alpha
14,0.4209373560193496,Modelo Ensemble,Dipole
