Feature Importance,Models,Propriedade Molecular
0,0.022222528752339862,Regressão Polinomial,Ei
1,0.4464261935596899,Regressão Polinomial,axx
2,0.05606896742777629,Regressão Polinomial,ayy
3,0.041472082607423924,Regressão Polinomial,azz
4,0.43381022765277005,Regressão Polinomial,Dipole
5,0.0936872824214455,SVR,Ei
6,0.1155826548745084,SVR,axx
7,0.2673464106386469,SVR,ayy
8,0.11046045095585033,SVR,azz
9,0.4129232011095488,SVR,Dipole
10,0.18667045215657888,XGBoost,Ei
11,0.11294888057713216,XGBoost,axx
12,0.21684479879758262,XGBoost,ayy
13,0.03740578522616622,XGBoost,azz
14,0.44613008324254017,XGBoost,Dipole
15,0.03501540027538589,RNA,Ei
16,0.15077577576603016,RNA,axx
17,0.2892014937558678,RNA,ayy
18,0.047126669115507634,RNA,azz
19,0.47788066108720834,RNA,Dipole
20,0.044850545560015484,Modelo Ensemble,Ei
21,0.39881149136752275,Modelo Ensemble,axx
22,0.13254067709938394,Modelo Ensemble,ayy
23,0.04272373830672357,Modelo Ensemble,azz
24,0.38107354766635426,Modelo Ensemble,Dipole
