Feature Importance,Models,Propriedade Molecular
0,0.12178566808920457,Regressão Polinomial,Ei
1,0.35276835361624154,Regressão Polinomial,Alpha
2,0.525445978294554,Regressão Polinomial,Dipole
3,0.1665332810678953,SVR,Ei
4,0.3232552192734823,SVR,Alpha
5,0.5102114996586224,SVR,Dipole
6,0.16820670033411791,XGBoost,Ei
7,0.3130673130006,XGBoost,Alpha
8,0.5187259866652821,XGBoost,Dipole
9,0.12662129640364175,RNA,Ei
10,0.41130189947515344,RNA,Alpha
11,0.4620768041212048,RNA,Dipole
12,0.11020390543349916,Modelo Ensemble,Ei
13,0.36450618379533667,Modelo Ensemble,Alpha
14,0.5252899107711642,Modelo Ensemble,Dipole
